1652 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,30 ,49 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,14 ,0 ,0 
0 ,157 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,4144 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,219 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 
0 ,1 ,0 ,2500 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,0 ,1 ,0 ,81 ,0 ,0 ,0 ,4 ,4 ,0 ,2 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,2359 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,161 ,0 ,0 ,7 ,0 ,0 ,0 ,4 ,5 ,0 ,34 
0 ,0 ,8 ,1 ,0 ,1123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
0 ,0 ,0 ,0 ,0 ,0 ,11532 ,0 ,0 ,0 ,3 ,2 ,23 ,0 ,6 ,0 ,180 ,0 ,1 ,0 ,18 ,0 ,0 ,0 ,3 ,0 ,0 
0 ,0 ,0 ,0 ,8 ,0 ,0 ,274 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
0 ,0 ,0 ,0 ,1 ,0 ,0 ,8 ,83 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,514 ,0 ,13 ,1 ,17 ,0 ,255 ,0 ,2 ,2 ,0 ,1 ,1 ,0 ,2 ,0 ,0 
6 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,0 ,0 ,0 ,3438 ,0 ,0 ,0 ,3 ,140 ,38 ,0 ,0 ,2 ,0 ,0 ,0 ,17 ,0 ,0 
1 ,0 ,9 ,24 ,0 ,0 ,13 ,0 ,0 ,0 ,22 ,0 ,12590 ,0 ,7 ,1 ,403 ,0 ,2 ,0 ,5 ,2 ,1 ,0 ,1 ,0 ,0 
